swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,pa,k_percent,bb_percent,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,bat_speed_contact_ratio,squared_up_efficiency,contact_quality_composite,swing_efficiency_ratio,whiff_to_contact_ratio,power_potential_score,sweet_spot_optimization
37,0.902439024390244,29,65.900111622,0.0,0.4482758620689655,0.3513513513513513,0.1379310344827586,0.1081081081081081,6.974011081,1,0.3123873787271092,8,0.2162162162162162,13,0.3513513513513513,510,12.4,3.7,32.1,1.9,25.7,95.819043043,91.913370193,14.3,48.8,2.2724176421379307,0.157502329916123,0.1954022988505747,9.449384415453297,0.6153846153846154,0.1302706293342103,17.0
32,0.9142857142857144,23,65.392257188,0.0,0.3043478260869565,0.21875,0.0434782608695652,0.03125,6.839461563,1,-2.77895144181723,9,0.28125,9,0.28125,157,10.2,7.0,20.8,0.0,30.8,96.960187869,92.529034262,16.7,50.1,2.8431416168695653,0.06657608695652173,0.11594202898550722,9.561024151631743,1.0,0.12047022505646582,10.4
25,0.8620689655172413,22,63.8467952,0.0,0.2727272727272727,0.24,0.0454545454545454,0.04,6.2196216,0,-2.1998134319503126,3,0.12,7,0.28,439,16.2,8.2,40.8,7.2,37.9,99.077065541,93.735564888,17.8,46.3,2.9021270545454545,0.06545454545454545,0.10606060606060604,10.265382575685955,0.4285714285714285,0.1272601046194813,24.0
28,0.9032258064516128,18,76.481192857,0.7142857142857143,0.6111111111111112,0.3928571428571428,0.5,0.3214285714285714,8.343971071,0,4.479744852500484,10,0.3571428571428571,12,0.4285714285714285,95,44.2,9.5,32.6,11.6,58.1,105.664042727,98.117200233,42.5,45.6,4.248955158722222,0.24007936507936506,0.6084656084656085,9.16604242826479,0.8333333333333334,0.7116230900692628,22.1
49,0.9074074074074074,30,76.239445306,0.6326530612244898,0.2,0.1224489795918367,0.0666666666666666,0.0408163265306122,7.933593878,1,-5.255273072670836,19,0.3877551020408163,13,0.2653061224489796,283,23.7,9.2,32.3,8.6,33.9,99.351105778,93.727272961,31.2,47.7,2.5413148435333333,0.024489795918367342,0.29977324263038546,9.609698514744164,1.4615384615384615,0.4751193155147735,20.45
39,0.9069767441860463,31,75.845929487,0.6153846153846154,0.3225806451612903,0.2564102564102564,0.1612903225806451,0.1282051282051282,7.473069231,1,-1.3651843959492784,8,0.2051282051282051,18,0.4615384615384615,627,18.7,17.2,30.1,7.3,36.1,99.951699683,94.03816619,23.1,41.7,2.4466428866774197,0.08271298593879238,0.36641852770885025,10.149234155676458,0.4444444444444444,0.4974471521768535,18.7
34,0.918918918918919,19,75.390264412,0.4411764705882352,0.3684210526315789,0.2058823529411764,0.2105263157894736,0.1176470588235294,8.190388235,0,-1.060597983569558,15,0.4411764705882353,13,0.3823529411764705,331,35.6,6.9,29.9,5.3,31.6,98.936683372,93.728918304,34.1,47.7,3.9679086532631573,0.07585139318885446,0.34004127966976255,9.20472415334778,1.153846153846154,0.4372651292979899,17.599999999999998
48,0.9056603773584906,34,75.099739375,0.5208333333333334,0.3823529411764705,0.2708333333333333,0.2647058823529412,0.1875,8.076365,0,-1.1998346351693734,14,0.2916666666666667,18,0.375,466,18.0,3.9,29.0,0.3,19.9,94.706925647,91.373110176,18.5,48.9,2.2088158639705884,0.10355392156862742,0.389297385620915,9.298705466506282,0.7777777777777778,0.41786699702649377,14.65
36,0.9,29,74.719161667,0.4444444444444445,0.3103448275862069,0.25,0.1034482758620689,0.0833333333333333,7.667863333,0,-3.061641030972396,7,0.1944444444444444,13,0.3611111111111111,476,27.3,13.2,30.8,12.5,47.0,103.697647259,96.269608741,26.5,41.7,2.576522816103448,0.07758620689655173,0.28607918263090676,9.744456626585,0.5384615384615383,0.46637803884681606,21.65
42,0.9130434782608696,34,74.502618571,0.5238095238095238,0.2941176470588235,0.238095238095238,0.1764705882352941,0.1428571428571428,7.441411429,1,-2.7319255114218164,8,0.1904761904761904,14,0.3333333333333333,28,14.3,25.0,17.6,0.0,23.5,97.963797778,93.292101765,28.6,33.0,2.191253487382353,0.07002801120448175,0.3314659197012138,10.0118934804028,0.5714285714285713,0.4026692832966176,8.8
