"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,season
"Robinson, Shane",453203,2017,35,14.3,8.6,0.21,0.269,0.271,33.3,0.0,14.8,90.131317143,89.997042963,21.8,39.9,2017
"Aoki, Norichika",493114,2017,374,11.8,7.8,0.315,0.292,0.293,28.2,1.0,24.8,95.487867027,91.771342061,14.4,46.2,2017
"Bruce, Jay",457803,2017,617,22.5,9.2,0.35,0.354,0.424,39.4,10.5,38.8,99.028100909,93.629769688,27.6,49.8,2017
"d'Arnaud, Travis",518595,2017,376,15.7,6.1,0.308,0.305,0.337,33.2,6.5,35.7,98.393545685,93.318061478,23.9,52.2,2017
"Buxton, Byron",621439,2017,511,29.4,7.4,0.312,0.298,0.394,32.3,5.6,32.0,98.610982721,93.385318191,31.1,49.6,2017
"Montero, Rafael",606160,2017,28,35.7,0.0,0.07,0.097,0.162,16.7,0.0,16.7,90.582377143,90.848654615,26.0,61.7,2017
"Ozuna, Marcell",542303,2017,679,21.2,9.4,0.388,0.364,0.434,31.0,9.3,45.6,103.371358846,95.955017949,26.9,49.6,2017
"Negrón, Kristopher",502117,2017,31,22.6,12.9,0.245,0.268,0.253,31.6,0.0,21.1,95.994385556,92.339521176,20.4,41.5,2017
"Canó, Robinson",429664,2017,648,13.1,7.6,0.334,0.355,0.384,33.9,6.3,44.0,101.09943898,94.796904086,17.8,52.0,2017
"Tauchman, Mike",643565,2017,32,31.3,15.6,0.294,0.247,0.261,35.3,0.0,23.5,92.349337778,90.839284706,30.4,48.3,2017
"Bader, Harrison",664056,2017,92,26.1,5.4,0.279,0.299,0.386,27.4,9.7,37.1,98.796580667,93.520422667,29.0,48.1,2017
"Frazier, Adam",624428,2017,454,12.6,7.9,0.322,0.326,0.334,37.4,2.0,24.2,95.112112543,91.567393681,13.4,46.0,2017
"Reyes, José",408314,2017,561,14.1,8.9,0.312,0.29,0.295,32.8,2.6,24.2,94.454647109,91.42633867,17.7,45.2,2017
"Taylor, Chris",621035,2017,568,25.0,8.8,0.361,0.342,0.424,39.7,8.0,34.1,98.443374863,93.237287951,25.4,45.9,2017
"Tomás, Yasmany",630111,2017,180,27.8,7.2,0.319,0.329,0.431,29.9,11.1,49.1,101.821518103,95.210070603,31.6,52.6,2017
"La Stella, Tommy",600303,2017,150,12.0,13.3,0.368,0.342,0.331,38.5,2.8,29.4,95.856466667,92.058380093,14.5,44.5,2017
"Anderson, Tim",641313,2017,606,26.7,2.1,0.288,0.274,0.364,31.8,5.1,31.1,97.427925429,92.716202071,29.8,55.1,2017
"Anderson, Chase",502624,2017,55,52.7,0.0,0.125,0.084,0.195,15.4,0.0,0.0,89.435369,89.3706625,36.5,50.7,2017
"Tulowitzki, Troy",453064,2017,260,15.4,6.5,0.292,0.289,0.312,26.2,5.0,33.7,97.559166337,92.807052736,18.0,45.5,2017
"Pham, Tommy",502054,2017,530,22.1,13.4,0.398,0.377,0.432,34.3,9.3,43.7,102.042591879,95.223853252,21.0,37.9,2017
"Altherr, Aaron",571437,2017,412,25.2,7.8,0.359,0.341,0.424,32.7,10.4,42.8,102.082151037,95.188569814,29.9,44.4,2017
"Realmuto, J.T.",592663,2017,579,18.3,6.2,0.332,0.335,0.384,32.6,6.3,35.5,99.057183458,93.605391733,19.2,48.3,2017
"Kinsler, Ian",435079,2017,613,14.0,9.0,0.313,0.328,0.341,37.2,4.9,30.1,96.329091379,92.174345162,15.6,44.5,2017
"Schoop, Jonathan",570731,2017,675,21.0,5.2,0.355,0.33,0.391,35.3,7.0,37.2,100.22187123,94.139732916,28.1,52.4,2017
"Puello, César",527049,2017,39,30.8,10.3,0.247,0.233,0.253,18.2,0.0,27.3,93.991025455,91.739466364,29.2,45.6,2017
"Blackmon, Charlie",453568,2017,725,18.6,9.0,0.414,0.372,0.428,38.1,8.7,36.4,98.886140196,93.502053399,19.0,46.4,2017
"Gómez, Miguel",622497,2017,34,17.6,0.0,0.227,0.24,0.292,35.7,3.6,39.3,99.663752857,94.135141071,27.7,57.5,2017
"Kemp, Tony",643393,2017,39,12.8,2.6,0.225,0.216,0.219,28.1,0.0,3.1,91.44718,89.728434375,13.2,49.6,2017
"Weeks Jr., Rickie",430001,2017,112,43.8,10.7,0.297,0.262,0.396,31.3,6.3,39.6,99.774872917,94.01316766,46.4,43.8,2017
"Walker, Taijuan",592836,2017,54,35.2,1.9,0.239,0.215,0.324,23.5,2.9,20.6,95.186430588,91.708879697,31.7,49.3,2017
"Napoli, Mike",435063,2017,484,33.7,10.1,0.302,0.313,0.43,29.1,15.8,41.5,100.263058346,94.244191208,34.5,43.2,2017
"Joseph, Caleb",543376,2017,266,27.1,3.8,0.299,0.284,0.372,36.6,6.0,30.9,96.837639556,92.423193333,26.4,49.4,2017
"Bautista, José",430832,2017,686,24.8,12.2,0.295,0.306,0.346,29.7,6.6,35.6,99.742989147,93.902020711,28.4,41.0,2017
