id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
691176,"Domínguez, Jasson",23,0.8846153846153846,18,73.803726522,0.3043478260869565,0.2222222222222222,0.1739130434782608,0.1111111111111111,0.0869565217391304,7.996986087,0,-0.0475318394231727,5,0.217391304347826,9,0.391304347826087,"Domínguez, Jasson",691176,2025,14,9,0.273,0.238,0.035,0.545,0.379,0.166,0.421,0.355,0.066
700250,"Rice, Ben",16,0.9411764705882352,14,73.749005,0.3125,0.4285714285714285,0.375,0.4285714285714285,0.375,7.343579375,0,5.448850462386144,2,0.125,8,0.5,"Rice, Ben",700250,2025,11,8,0.5,0.455,0.0449999999999999,1.2,1.29,-0.09,0.708,0.719,-0.011
669224,"Wells, Austin",30,0.8571428571428571,20,73.747646333,0.3333333333333333,0.25,0.1666666666666666,0.15,0.1,7.703701333,0,0.7916438980762928,10,0.3333333333333333,8,0.2666666666666666,"Wells, Austin",669224,2025,16,10,0.154,0.145,0.009,0.615,0.357,0.258,0.385,0.3,0.085
669004,"Melendez, MJ",26,0.896551724137931,15,73.734713846,0.3076923076923076,0.2,0.1153846153846153,0.0,0.0,7.816415769,2,-2.5972534581304947,11,0.4230769230769231,7,0.2692307692307692,"Melendez, MJ",669004,2025,15,7,0.077,0.097,-0.02,0.077,0.126,-0.049,0.154,0.179,-0.0249999999999999
665862,"Chisholm Jr., Jazz",36,0.9,22,73.58097,0.3333333333333333,0.3181818181818182,0.1944444444444444,0.1818181818181818,0.1111111111111111,7.728027222,0,2.836541956713861,14,0.3888888888888889,8,0.2222222222222222,"Chisholm Jr., Jazz",665862,2025,18,8,0.313,0.232,0.0809999999999999,0.875,0.65,0.2249999999999999,0.517,0.402,0.1149999999999999
681297,"Cowser, Colton",29,0.90625,16,73.556122414,0.3103448275862069,0.375,0.2068965517241379,0.3125,0.1724137931034483,7.459772069,0,-1.8011499477545805,13,0.4482758620689655,8,0.2758620689655172,"Cowser, Colton",681297,2025,18,10,0.125,0.221,-0.096,0.313,0.428,-0.1149999999999999,0.241,0.322,-0.081
677951,"Witt Jr., Bobby",43,0.9148936170212766,32,73.547769302,0.3953488372093023,0.25,0.1860465116279069,0.1875,0.1395348837209302,6.929862791,1,-1.0859849180003378,11,0.2558139534883721,12,0.2790697674418604,"Witt Jr., Bobby",677951,2025,24,16,0.286,0.358,-0.072,0.381,0.485,-0.1039999999999999,0.325,0.397,-0.072
677800,"Abreu, Wilyer",28,0.9032258064516128,25,73.505381786,0.25,0.24,0.2142857142857142,0.16,0.1428571428571428,7.125530714,2,3.3119137770437272,3,0.1071428571428571,10,0.3571428571428571,"Abreu, Wilyer",677800,2025,16,11,0.636,0.503,0.133,1.364,1.147,0.217,0.801,0.69,0.1110000000000001
670042,"Raley, Luke",36,0.9473684210526316,17,73.4911,0.4444444444444444,0.1764705882352941,0.0833333333333333,0.1764705882352941,0.0833333333333333,7.283468611,1,-1.7164035073969812,19,0.5277777777777778,7,0.1944444444444444,"Raley, Luke",670042,2025,15,7,0.167,0.223,-0.0559999999999999,0.417,0.316,0.1009999999999999,0.334,0.326,0.008
668227,"Arozarena, Randy",43,0.8958333333333334,29,73.480871395,0.4651162790697674,0.3103448275862069,0.2093023255813953,0.2068965517241379,0.1395348837209302,7.438101163,2,-0.8031077721989005,14,0.3255813953488372,11,0.2558139534883721,"Arozarena, Randy",668227,2025,24,13,0.158,0.338,-0.18,0.526,0.828,-0.3019999999999999,0.367,0.528,-0.161
545361,"Trout, Mike",40,0.8888888888888888,29,73.46183075,0.375,0.2068965517241379,0.15,0.1034482758620689,0.075,7.372522,0,-2.778909674267124,11,0.275,13,0.325,"Trout, Mike",545361,2025,22,15,0.118,0.268,-0.15,0.176,0.435,-0.259,0.169,0.319,-0.15
624585,"Soler, Jorge",29,0.935483870967742,23,73.379412414,0.2758620689655172,0.391304347826087,0.3103448275862069,0.3043478260869565,0.2413793103448276,7.909499655,0,-1.8939643372100528,6,0.2068965517241379,11,0.3793103448275862,"Soler, Jorge",624585,2025,20,11,0.176,0.243,-0.067,0.235,0.488,-0.253,0.221,0.368,-0.147
667670,"Rooker, Brent",45,0.9,32,73.346149556,0.3777777777777777,0.34375,0.2444444444444444,0.15625,0.1111111111111111,7.160371778,1,-0.015166501592345,13,0.2888888888888888,17,0.3777777777777777,"Rooker, Brent",667670,2025,27,18,0.269,0.303,-0.0339999999999999,0.5,0.666,-0.166,0.34,0.418,-0.0779999999999999
691016,"Soderstrom, Tyler",34,0.8947368421052632,24,73.316905294,0.3529411764705882,0.375,0.2647058823529412,0.2916666666666667,0.2058823529411764,7.641915882,2,-0.0803751374501679,10,0.2941176470588235,13,0.3823529411764705,"Soderstrom, Tyler",691016,2025,24,16,0.348,0.278,0.0699999999999999,0.783,0.626,0.157,0.483,0.391,0.0919999999999999
